,year,agency_code,career_cluster,num_concentrators,description
503,2019,410544,INFO,18.0,Information Technology
504,2019,410544,MANU,1.0,Manufacturing
505,2019,410544,MRKT,10.0,Marketing Sales & Services
506,2019,410544,TRAN,4.0,"Transportation, Distribution & Logistics"
507,2019,190304,INFO,,Information Technology
508,2019,510310,AGNR,,Agricultural & Natural Resources Tech
509,2019,510310,INFO,,Information Technology
510,2019,510310,STEM,,"Science, Tech, Engineering and Math"
511,2019,600319,BMA,,Business Management and Administration
512,2019,600319,CD,,Career Development
513,2019,600319,FINA,,Finance
514,2019,600319,HOSP,,Hospitality and Tourism
515,2019,600319,INFO,,Information Technology
516,2019,600319,MRKT,,Marketing Sales & Services
517,2019,80311,AGNR,,Agricultural & Natural Resources Tech
518,2019,80311,BMA,,Business Management and Administration
519,2019,80311,FINA,,Finance
520,2019,80311,HLTH,,Health Science
521,2019,80311,INFO,,Information Technology
522,2019,80311,MANU,,Manufacturing
523,2019,80311,MRKT,,Marketing Sales & Services
524,2019,80312,AAVC,,"Arts, Audio/Video Techn and Comm"
525,2019,80312,AGNR,,Agricultural & Natural Resources Tech
526,2019,80312,ARCH,,Architecture and Construction
527,2019,80312,BMA,,Business Management and Administration
528,2019,80312,FINA,,Finance
529,2019,80312,HLTH,,Health Science
530,2019,80312,HOSP,,Hospitality and Tourism
531,2019,80312,HUMA,,Human Services
532,2019,80312,INFO,,Information Technology
533,2019,80312,LAW,,"Law, Public Safety, Corrections and Security"
534,2019,80312,MANU,,Manufacturing
535,2019,80312,MRKT,,Marketing Sales & Services
536,2019,80312,STEM,,"Science, Tech, Engineering and Math"
537,2019,80312,TRAN,,"Transportation, Distribution & Logistics"
538,2019,80314,CD,,Career Development
539,2019,80314,INFO,,Information Technology
540,2019,80314,STEM,,"Science, Tech, Engineering and Math"
541,2019,360336,AAVC,8.0,"Arts, Audio/Video Techn and Comm"
542,2019,360336,ARCH,38.0,Architecture and Construction
543,2019,360336,BMA,14.0,Business Management and Administration
544,2019,360336,FINA,,Finance
545,2019,360336,HLTH,9.0,Health Science
546,2019,360336,HOSP,,Hospitality and Tourism
547,2019,360336,HUMA,12.0,Human Services
548,2019,360336,INFO,23.0,Information Technology
549,2019,360336,MANU,,Manufacturing
550,2019,360336,MRKT,1.0,Marketing Sales & Services
551,2019,360336,STEM,1.0,"Science, Tech, Engineering and Math"
552,2019,360336,TRAN,,"Transportation, Distribution & Logistics"
553,2019,360436,BMA,,Business Management and Administration
554,2019,360436,FINA,,Finance
555,2019,360436,HOSP,,Hospitality and Tourism
556,2019,360436,INFO,,Information Technology
557,2019,360436,MRKT,,Marketing Sales & Services
558,2019,360436,STEM,,"Science, Tech, Engineering and Math"
559,2019,740320,INFO,,Information Technology
