,year,agency_code,career_cluster,num_concentrators
939,2019,920356,HUMA,
940,2019,920356,INFO,
941,2019,920356,MRKT,
942,2019,681305,AAVC,10.0
943,2019,681305,AGNR,
944,2019,681305,ARCH,2.0
945,2019,681305,BMA,
946,2019,681305,EDUC,
947,2019,681305,FINA,
948,2019,681305,HLTH,
949,2019,681305,HOSP,
950,2019,681305,HUMA,
951,2019,681305,INFO,8.0
952,2019,681305,LAW,
953,2019,681305,MANU,1.0
954,2019,681305,MRKT,2.0
955,2019,681305,STEM,17.0
956,2019,681305,TRAN,
957,2019,920360,AGNR,
958,2019,920360,BMA,
959,2019,920360,CD,
960,2019,920360,FINA,
961,2019,920360,HOSP,
