year,agency_code,career_cluster,num_concentrators
2017,560324,AGNR,2.0
2017,580368,BMA,4.0
2017,580368,FINA,59.0
2017,580368,HLTH,144.0
2017,580368,HOSP,442.0
2017,580368,INFO,2.0
2017,58B000,ARCH,1.0
2017,58B000,BMA,1.0
2017,58B000,HLTH,3.0
2017,590328,AAVC,5.0
2017,590328,ARCH,2.0
2017,590328,INFO,2.0
2017,590328,MANU,2.0
2017,590328,TRAN,2.0
2017,590330,AAVC,36.0
2017,590330,AGNR,16.0
2017,590330,ARCH,44.0
2017,590330,BMA,4.0
2017,590330,FINA,1.0
2017,590330,HLTH,59.0
2017,590330,HOSP,37.0
2017,590330,HUMA,26.0
2017,590330,INFO,12.0
2017,590330,LAW,43.0
2017,590330,MANU,59.0
2017,590330,TRAN,10.0
2017,590393,ARCH,1.0
2017,590393,FINA,2.0
2017,580368,AGNR,596.0
2017,540336,TRAN,18.0
2017,580344,INFO,76.0
2017,580344,HLTH,6.0
2017,560324,ARCH,2.0
2017,560324,HLTH,2.0
2017,560324,HOSP,6.0
2017,560332,ARCH,4.0
2017,560332,BMA,2.0
2017,560332,MANU,3.0
2017,560350,AGNR,1.0
2017,560350,HOSP,1.0
2017,570317,AGNR,2.0
2017,570317,BMA,2.0
2017,570317,HOSP,2.0
2017,570317,INFO,1.0
2017,570317,MANU,2.0
2017,570317,STEM,1.0
2017,570318,AGNR,35.0
2017,570318,ARCH,42.0
2017,570318,BMA,8.0
2017,570318,HLTH,28.0
2017,570318,HOSP,3.0
2017,570318,HUMA,6.0
2017,570318,INFO,2.0
2017,570318,MANU,32.0
2017,570318,MRKT,9.0
2017,570318,STEM,10.0
2017,570318,TRAN,2.0
2017,580344,AGNR,226.0
2017,580344,BMA,9.0
2017,580344,HOSP,210.0
2017,590393,HOSP,10.0
2017,540336,STEM,28.0
2017,540336,HOSP,58.0
2017,510402,ARCH,6.0
2017,510402,BMA,4.0
2017,510402,HLTH,71.0
2017,510402,HOSP,14.0
2017,510402,INFO,7.0
2017,510402,LAW,17.0
2017,510402,MANU,10.0
2017,510402,TRAN,5.0
2017,510406,AAVC,29.0
2017,510406,AGNR,74.0
2017,510406,ARCH,71.0
2017,510406,BMA,40.0
2017,510402,AGNR,100.0
2017,510406,FINA,5.0
2017,510406,HOSP,47.0
2017,510406,HUMA,2.0
2017,510406,INFO,45.0
2017,510406,LAW,2.0
2017,510406,MRKT,28.0
2017,510406,TRAN,17.0
2017,520320,AGNR,39.0
2017,520320,ARCH,18.0
2017,520320,BMA,11.0
2017,520320,HLTH,5.0
2017,520320,HOSP,9.0
2017,520320,LAW,1.0
2017,510406,HLTH,36.0
2017,510402,AAVC,2.0
2017,510399,TRAN,8.0
2017,510399,STEM,10.0
2017,510368,HUMA,15.0
2017,510368,LAW,4.0
2017,510368,MANU,35.0
2017,510368,MRKT,25.0
2017,510368,TRAN,18.0
2017,510376,AAVC,3.0
2017,510376,AGNR,83.0
2017,510376,BMA,34.0
2017,510376,FINA,3.0
2017,510376,HLTH,23.0
2017,510376,HOSP,33.0
2017,510376,HUMA,1.0
2017,510376,INFO,32.0
2017,510376,MANU,3.0
2017,510376,STEM,1.0
2017,510376,TRAN,15.0
2017,510380,STEM,1.0
