Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Gaston County Schools,360380,Cramerton Middle,Southwest,06-08,,B,78,73.7,93.0,Exceeded,5.82,B,80,76.8,91.9,Exceeded,5.15
Gaston County Schools,360392,Edward D Sadler Jr Elementary School,Southwest,PK-05,Y,D,41,30.4,81.3,Met,0.53,D,44,35.4,78.6,Met,-0.28
Gaston County Schools,360400,Gardner Park Elementary,Southwest,PK-05,Y,D,50,41.0,85.3,Exceeded,2.15,D,43,38.0,61.2,Not Met,-3.75
Gaston County Schools,360408,W P Grier Middle School,Southwest,06-08,Y,F,37,28.0,73.7,Met,-1.25,F,33,24.2,66.3,Not Met,-2.74
Gaston County Schools,360420,Hawks Nest STEAM Academy,Southwest,0K-05,,B,76,74.1,81.2,Met,0.49,B,79,85.4,55.6,Not Met,-6.59
Gaston County Schools,360426,Holbrook Middle,Southwest,06-08,,D,49,40.7,83.2,Met,1.28,D,43,38.2,62.2,Not Met,-3.56
Gaston County Schools,360431,John Chavis Middle School,Southwest,06-08,,D,52,44.8,78.9,Met,-0.21,D,53,47.1,78.9,Met,-0.22
Gaston County Schools,360432,Kiser Elementary,Southwest,03-05,Y,D,50,43.4,77.1,Met,-0.58,D,44,41.1,57.7,Not Met,-5.33
Gaston County Schools,360436,Bessemer City Middle,Southwest,06-08,Y,D,44,35.6,78.8,Met,-0.23,D,42,33.6,75.6,Met,-0.88
Gaston County Schools,360438,Lingerfeldt Elementary,Southwest,PK-05,Y,F,33,21.7,78.6,Met,-0.28,F,38,31.9,62.2,Not Met,-3.55
Gaston County Schools,360440,Lowell Elementary,Southwest,0K-05,Y,D,50,41.9,82.6,Met,1.05,C,62,55.7,86.3,Exceeded,2.55
Gaston County Schools,360448,McAdenville Elementary,Southwest,0K-05,Y,D,52,44.4,80.0,Met,0.02,D,54,46.7,82.7,Met,1.10
Gaston County Schools,360456,Mount Holly Middle,Southwest,06-08,,C,56,50.6,75.3,Met,-0.94,C,59,53.2,80.3,Met,0.12
Gaston County Schools,360464,New Hope Elementary,Southwest,0K-05,,C,60,57.2,71.2,Met,-1.76,B,71,70.7,73.9,Met,-1.21
Gaston County Schools,360468,North Belmont Elementary,Southwest,PK-05,Y,C,63,56.7,87.1,Exceeded,2.86,B,77,73.1,90.8,Exceeded,4.52
Gaston County Schools,360478,Pinewood Elementary,Southwest,PK-05,Y,C,60,55.0,82.4,Met,0.96,C,67,60.0,92.8,Exceeded,5.72
Gaston County Schools,360480,Pleasant Ridge Elementary,Southwest,PK-05,Y,D,45,36.9,78.7,Met,-0.26,D,51,43.3,82.5,Met,1.03
Gaston County Schools,360482,Ida Rankin Elementary School,Southwest,PK-05,Y,C,60,54.0,81.5,Met,0.60,C,65,60.9,81.9,Met,0.76
Gaston County Schools,360488,Robinson Elementary,Southwest,PK-05,Y,D,48,41.8,72.8,Met,-1.44,D,50,44.6,72.4,Met,-1.51
Gaston County Schools,360490,Sherwood Elementary,Southwest,PK-05,Y,F,37,29.1,67.8,Not Met,-2.43,F,37,28.6,70.7,Met,-1.85
Gaston County Schools,360492,H H Beam Elementary,Southwest,PK-05,Y,F,30,17.6,82.0,Met,0.80,F,32,20.9,75.4,Met,-0.92
Gaston County Schools,360498,Southwest Middle,Southwest,06-08,Y,D,47,36.8,87.7,Exceeded,3.08,D,48,38.1,90.0,Exceeded,4.02
Gaston County Schools,360500,Stanley Middle,Southwest,06-08,,C,60,54.9,78.5,Met,-0.30,C,58,55.1,68.8,Not Met,-2.24
Gaston County Schools,360504,Tryon Elementary,Southwest,PK-05,Y,D,43,35.8,70.6,Met,-1.88,D,54,47.7,79.3,Met,-0.14
Gaston County Schools,360510,W A Bess Elementary School,Southwest,PK-05,,C,62,56.5,83.9,Met,1.59,B,73,69.8,86.3,Exceeded,2.54
Gaston County Schools,360514,W C Friday Middle School,Southwest,06-08,,D,49,42.0,76.1,Met,-0.78,D,48,45.1,58.5,Not Met,-4.85
Gaston County Schools,360520,Woodhill Elementary,Southwest,PK-05,Y,F,36,24.1,81.3,Met,0.55,F,35,23.7,78.1,Met,-0.37
Gaston County Schools,360526,York Chester Middle,Southwest,06-08,Y,D,42,31.8,81.2,Met,0.51,D,46,37.1,84.0,Met,1.63
Gaston County Schools,360550,Gaston Virtual Academy,Southwest,0K-12,,D,53,48.5,69.0,Not Met,-2.20,F,36,31.3,53.4,Not Met,-7.94
Gates County Schools,370304,Buckland Elementary,Northeast,0K-05,Y,D,44,36.1,76.1,Met,-0.78,D,50,43.4,74.3,Met,-1.13
Gates County Schools,370308,Central Middle School,Northeast,06-08,,D,46,38.0,80.1,Met,0.05,D,54,43.5,95.1,Exceeded,7.11
Gates County Schools,370316,Gatesville Elementary,Northeast,PK-05,Y,D,52,47.2,72.4,Met,-1.51,C,64,63.2,66.1,Not Met,-2.77
Gates County Schools,370324,T S Cooper Elementary,Northeast,0K-05,Y,C,56,49.4,80.2,Met,0.09,C,57,48.3,90.0,Exceeded,4.00
Graham County Schools,380306,Robbinsville Elementary,Western,PK-05,Y,F,37,28.6,70.2,Met,-1.95,F,34,27.7,57.9,Not Met,-5.24
Graham County Schools,380310,Robbinsville Middle,Western,06-08,,D,49,42.1,76.5,Met,-0.69,F,36,29.8,59.5,Not Met,-4.27
Granville County Schools,390309,Butner-Stem Middle,North Central,06-08,Y,D,45,38.3,73.2,Met,-1.35,D,44,33.5,87.8,Exceeded,3.12
Granville County Schools,390311,Butner-Stem Elementary,North Central,PK-05,Y,D,48,40.5,80.0,Met,0.00,C,60,52.3,91.2,Exceeded,4.72
Granville County Schools,390312,C. G. Credle Elementary,North Central,PK-05,Y,D,40,31.6,71.1,Met,-1.78,D,45,34.8,83.4,Met,1.36
Granville County Schools,390316,Creedmoor Elementary,North Central,PK-05,Y,F,38,29.0,75.0,Met,-1.00,D,45,34.8,84.2,Met,1.69
Granville County Schools,390320,G. C. Hawley Middle,North Central,06-08,,C,58,51.9,80.6,Met,0.26,D,53,46.1,82.7,Met,1.10
Granville County Schools,390321,Granville Academy,North Central,PK-12,,C,68,64.5,82.6,Met,1.05,D,46,42.7,57.5,Not Met,-5.46
Granville County Schools,390333,Mount Energy Elementary,North Central,PK-05,Y,C,56,48.9,83.5,Met,1.43,D,53,44.8,85.6,Exceeded,2.25
Granville County Schools,390334,Northern Granville Middle,North Central,06-08,Y,F,39,31.3,69.3,Not Met,-2.13,F,38,25.6,85.5,Exceeded,2.20
Granville County Schools,390360,Stovall-Shaw Elementary,North Central,PK-05,Y,D,44,34.4,84.3,Met,1.75,C,55,46.1,92.7,Exceeded,5.62
Granville County Schools,390362,Tar River Elementary,North Central,PK-05,Y,C,68,62.7,88.7,Exceeded,3.51,C,68,61.6,94.0,Exceeded,6.43
Granville County Schools,390364,West Oxford Elementary,North Central,PK-05,Y,D,41,30.1,82.8,Met,1.14,F,36,26.7,71.9,Met,-1.62
Granville County Schools,390368,Wilton Elementary,North Central,PK-05,Y,C,60,56.6,75.9,Met,-0.81,C,68,63.9,85.7,Exceeded,2.29
Greene County Schools,400312,Greene County Middle,Southeast,06-08,Y,D,44,36.3,75.4,Met,-0.92,F,33,27.2,55.5,Not Met,-6.67
Greene County Schools,400318,Greene County Intermediate,Southeast,04-05,Y,F,38,30.3,70.6,Met,-1.88,D,43,34.2,79.6,Met,-0.07
Greene County Schools,400332,West Greene Elementary,Southeast,02-03,Y,F,38,26.8,81.4,Met,0.57,F,39,38.6,,,
Guilford County Schools,410301,Guilford eLearning Virtual School,Piedmont-Triad,0K-05,,F,33,25.2,66.0,Not Met,-2.80,F,25,17.3,55.0,Not Met,-6.98
Guilford County Schools,410302,Guilford eLearning University Prep,Piedmont-Triad,06-08,,D,40,31.9,74.7,Met,-1.05,F,25,16.4,59.9,Not Met,-4.03
Guilford County Schools,410304,Alamance Elementary,Piedmont-Triad,PK-05,,C,67,67.1,65.1,Not Met,-2.98,B,72,73.1,66.0,Not Met,-2.79
Guilford County Schools,410307,Edwin A Alderman Elementary,Piedmont-Triad,PK-05,Y,D,47,39.4,79.7,Met,-0.05,D,49,45.6,61.1,Not Met,-3.77
Guilford County Schools,410310,Allen Jay Elementary,Piedmont-Triad,PK-05,Y,F,37,30.4,64.5,Not Met,-3.10,D,48,41.5,72.1,Met,-1.58
Guilford County Schools,410311,Allen Jay Middle - A Preparatory Academy,Piedmont-Triad,05-08,,D,53,49.2,67.3,Not Met,-2.53,D,47,43.8,61.5,Not Met,-3.69
Guilford County Schools,410313,Southern Guilford Middle,Piedmont-Triad,06-08,Y,D,40,31.2,75.5,Met,-0.89,F,36,29.0,65.1,Not Met,-2.98
Guilford County Schools,410316,Allen Middle,Piedmont-Triad,06-08,Y,F,38,30.2,68.9,Not Met,-2.21,F,31,23.1,64.1,Not Met,-3.17
Guilford County Schools,410322,Archer Elementary,Piedmont-Triad,PK-05,Y,D,51,42.7,86.1,Exceeded,2.46,C,66,60.5,86.9,Exceeded,2.77
Guilford County Schools,410325,Swann Middle School,Piedmont-Triad,06-08,Y,D,41,35.2,63.8,Not Met,-3.24,F,33,27.8,54.3,Not Met,-7.38
Guilford County Schools,410328,Bessemer Elementary,Piedmont-Triad,PK-05,Y,F,36,25.4,76.4,Met,-0.72,F,39,27.4,87.5,Exceeded,3.02
Guilford County Schools,410331,Bluford Elementary,Piedmont-Triad,0K-05,Y,D,48,39.6,81.1,Met,0.46,D,54,46.0,84.3,Met,1.74
Guilford County Schools,410334,Brightwood Elementary,Piedmont-Triad,PK-05,Y,D,47,39.6,75.5,Met,-0.90,D,41,33.2,73.9,Met,-1.22
Guilford County Schools,410337,Brooks Global Elementary,Piedmont-Triad,0K-05,,B,76,76.8,72.1,Met,-1.57,B,76,78.0,69.0,Not Met,-2.20
Guilford County Schools,410340,Monticello-Brown Summit Elem,Piedmont-Triad,PK-05,Y,F,39,31.4,68.9,Not Met,-2.21,D,48,39.4,84.7,Met,1.89
Guilford County Schools,410341,Brown Summit Middle,Piedmont-Triad,06-08,,A,91,>95,58.9,Not Met,-4.61,A,97,>95,87.9,Exceeded,3.19
Guilford County Schools,410343,Claxton Elementary,Piedmont-Triad,0K-05,,C,61,57.8,74.8,Met,-1.04,C,60,59.7,61.6,Not Met,-3.68
Guilford County Schools,410346,Colfax Elementary,Piedmont-Triad,PK-05,,B,73,72.1,75.0,Met,-1.00,B,76,76.8,75.1,Met,-0.97
Guilford County Schools,410349,Ceasar Cone Elementary,Piedmont-Triad,PK-05,Y,F,32,22.0,73.6,Met,-1.28,F,29,15.9,80.2,Met,0.11
Guilford County Schools,410361,Erwin Montessori,Piedmont-Triad,PK-05,Y,C,61,57.1,78.4,Met,-0.31,C,58,53.6,76.6,Met,-0.68
Guilford County Schools,410364,Fairview Elementary,Piedmont-Triad,PK-05,Y,F,36,27.1,70.1,Met,-1.98,D,44,36.4,74.4,Met,-1.11
Guilford County Schools,410366,Waldo C Falkener Sr Elementary,Piedmont-Triad,PK-05,Y,F,32,20.6,75.2,Met,-0.95,F,36,23.5,84.1,Met,1.67
Guilford County Schools,410367,Ferndale Middle,Piedmont-Triad,06-08,Y,F,32,24.7,60.7,Not Met,-3.85,F,25,17.6,56.2,Not Met,-6.28
Guilford County Schools,410370,Florence Elementary,Piedmont-Triad,PK-05,,C,61,57.9,75.2,Met,-0.96,C,66,65.1,69.8,Not Met,-2.03
Guilford County Schools,410373,Julius I Foust Elementary,Piedmont-Triad,PK-05,Y,F,35,23.8,82.2,Met,0.88,D,48,38.5,86.1,Exceeded,2.47
Guilford County Schools,410376,Cyrus P Frazier Elementary,Piedmont-Triad,PK-05,Y,D,44,34.5,80.9,Met,0.36,D,41,34.5,67.2,Not Met,-2.56
Guilford County Schools,410382,Gibsonville Elementary,Piedmont-Triad,PK-05,Y,D,52,49.1,65.9,Not Met,-2.82,C,56,55.0,60.1,Not Met,-3.97
Guilford County Schools,410385,Gillespie Park Elementary,Piedmont-Triad,PK-05,Y,F,34,25.3,71.1,Met,-1.78,F,34,25.6,67.4,Not Met,-2.51
Guilford County Schools,410388,General Greene Elementary,Piedmont-Triad,0K-05,,B,75,72.8,83.1,Met,1.24,B,76,75.4,76.4,Met,-0.71
Guilford County Schools,410391,Penn-Griffin Schools,Piedmont-Triad,06-12,Y,D,46,42.8,58.0,Not Met,-5.15,D,42,35.5,67.8,Not Met,-2.44
Guilford County Schools,410397,Western Guilford Middle,Piedmont-Triad,06-08,Y,D,43,37.2,65.1,Not Met,-2.97,F,34,27.4,62.0,Not Met,-3.59
Guilford County Schools,410400,Guilford Elementary,Piedmont-Triad,PK-05,Y,D,40,32.1,69.3,Not Met,-2.14,D,44,35.7,76.5,Met,-0.69
Guilford County Schools,410402,Otis L Hairston Sr Middle,Piedmont-Triad,06-08,Y,D,40,30.1,81.7,Met,0.68,D,42,29.2,93.7,Exceeded,6.23
Guilford County Schools,410409,Hunter Elementary,Piedmont-Triad,PK-05,Y,D,46,36.5,81.5,Met,0.62,D,49,40.3,82.1,Met,0.86
Guilford County Schools,410412,Irving Park Elementary,Piedmont-Triad,PK-05,Y,D,49,44.8,67.4,Not Met,-2.51,C,61,55.9,81.3,Met,0.53
Guilford County Schools,410415,Jackson Middle,Piedmont-Triad,06-08,Y,D,41,31.8,76.3,Met,-0.74,F,32,18.4,84.5,Met,1.80
Guilford County Schools,410418,Jamestown Elementary,Piedmont-Triad,PK-05,Y,C,55,49.8,74.8,Met,-1.04,C,64,58.7,86.4,Exceeded,2.57
Guilford County Schools,410421,Jamestown Middle,Piedmont-Triad,06-08,Y,D,47,43.6,62.0,Not Met,-3.60,D,45,37.4,77.4,Met,-0.52
Guilford County Schools,410423,Jefferson Elementary,Piedmont-Triad,PK-05,Y,C,55,48.1,82.3,Met,0.94,C,61,56.1,81.1,Met,0.46
Guilford County Schools,410424,Jesse Wharton Elem,Piedmont-Triad,PK-05,,C,67,65.2,71.8,Met,-1.63,C,69,68.9,67.0,Not Met,-2.60
Guilford County Schools,410427,Johnson Street Global Studies,Piedmont-Triad,0K-08,Y,D,41,31.0,80.0,Met,0.01,D,48,39.8,82.4,Met,0.99
Guilford County Schools,410430,David D Jones Elementary,Piedmont-Triad,PK-05,Y,C,58,55.3,70.8,Met,-1.83,C,59,52.1,88.0,Exceeded,3.21
Guilford County Schools,410436,James Y Joyner Elementary,Piedmont-Triad,PK-05,Y,D,47,38.1,81.6,Met,0.67,F,38,30.4,66.2,Not Met,-2.76
Guilford County Schools,410437,Kernodle Middle,Piedmont-Triad,06-08,,C,69,66.2,78.7,Met,-0.25,B,73,71.0,81.2,Met,0.50
Guilford County Schools,410439,Kirkman Park Elementary,Piedmont-Triad,PK-05,Y,D,53,49.5,67.5,Not Met,-2.50,D,48,41.3,72.8,Met,-1.43
Guilford County Schools,410442,Kiser Middle,Piedmont-Triad,06-08,Y,C,55,51.5,68.4,Not Met,-2.31,C,60,52.3,92.4,Exceeded,5.46
Guilford County Schools,410448,Lincoln Academy,Piedmont-Triad,04-08,Y,C,64,61.9,69.9,Not Met,-2.01,C,56,52.0,72.7,Met,-1.46
Guilford County Schools,410451,John Van Lindley Elementary,Piedmont-Triad,PK-05,Y,C,63,58.8,80.1,Met,0.05,C,65,61.1,82.3,Met,0.93
Guilford County Schools,410454,Madison Elementary,Piedmont-Triad,0K-05,Y,D,40,34.3,64.4,Not Met,-3.12,D,40,35.3,56.7,Not Met,-5.93
Guilford County Schools,410460,Eastern Guilford Middle,Piedmont-Triad,06-08,Y,F,34,28.7,56.4,Not Met,-6.14,F,32,26.1,56.9,Not Met,-5.82
Guilford County Schools,410461,McLeansville Elementary,Piedmont-Triad,PK-05,Y,D,43,36.1,68.7,Not Met,-2.26,D,49,41.3,82.2,Met,0.91
Guilford County Schools,410462,Ronald E. McNair Elementary,Piedmont-Triad,PK-05,Y,D,43,37.6,66.4,Not Met,-2.71,D,40,32.3,72.9,Met,-1.42
Guilford County Schools,410463,Mendenhall Middle,Piedmont-Triad,06-08,Y,D,53,47.9,72.5,Met,-1.49,D,54,46.8,83.9,Met,1.56
Guilford County Schools,410466,Millis Road Elementary,Piedmont-Triad,PK-05,,C,63,63.6,60.7,Not Met,-3.85,B,71,72.4,63.2,Not Met,-3.36
Guilford County Schools,410469,Montlieu Academy of Technology,Piedmont-Triad,PK-05,Y,D,44,35.2,76.9,Met,-0.62,D,42,33.0,76.0,Met,-0.79
Guilford County Schools,410472,Morehead Elementary,Piedmont-Triad,0K-05,Y,D,53,49.6,66.0,Not Met,-2.80,C,62,56.7,82.0,Met,0.83
Guilford County Schools,410478,Murphey Traditional Academy,Piedmont-Triad,0K-05,Y,D,46,36.8,82.1,Met,0.87,D,53,46.6,76.2,Met,-0.75
Guilford County Schools,410481,Nathanael Greene Elementary,Piedmont-Triad,0K-05,,C,64,60.7,77.5,Met,-0.50,C,68,62.4,88.3,Exceeded,3.32
Guilford County Schools,410486,Northern Guilford Elementary,Piedmont-Triad,0K-05,,C,65,64.4,69.7,Not Met,-2.05,B,73,76.7,58.7,Not Met,-4.75
Guilford County Schools,410487,Northeast Guilford Middle,Piedmont-Triad,06-08,Y,F,38,28.2,76.9,Met,-0.62,F,33,21.8,79.0,Met,-0.20
Guilford County Schools,410488,Northern Guilford Middle,Piedmont-Triad,06-08,,C,66,64.7,68.9,Not Met,-2.22,B,72,69.5,79.7,Met,-0.05
Guilford County Schools,410491,EP Pearce Elementary,Piedmont-Triad,0K-05,,B,78,77.4,82.1,Met,0.87,A,85,84.9,84.9,Met,1.99
Guilford County Schools,410493,Northwest Guilford Middle,Piedmont-Triad,06-08,,B,75,75.5,70.6,Met,-1.88,B,75,75.7,71.0,Met,-1.80
Guilford County Schools,410496,Northwood Elementary,Piedmont-Triad,PK-05,Y,F,38,28.4,74.0,Met,-1.20,D,46,35.1,87.5,Exceeded,3.02
Guilford County Schools,410499,Oak Hill Elementary,Piedmont-Triad,PK-05,Y,F,36,28.8,63.8,Not Met,-3.23,D,43,33.8,80.1,Met,0.07
Guilford County Schools,410502,Oak Ridge Elementary,Piedmont-Triad,PK-05,,B,82,83.0,78.9,Met,-0.21,A,88,90.2,80.8,Met,0.34
Guilford County Schools,410505,Oak View Elementary,Piedmont-Triad,PK-05,Y,D,40,32.8,70.8,Met,-1.84,D,41,34.4,69.3,Not Met,-2.13
Guilford County Schools,410511,Parkview Village Elementary,Piedmont-Triad,PK-05,Y,F,38,27.7,77.1,Met,-0.57,D,50,41.1,83.8,Met,1.54
Guilford County Schools,410514,Clara J Peck Elementary,Piedmont-Triad,PK-05,Y,D,47,38.3,80.2,Met,0.10,D,48,39.3,84.0,Met,1.62
Guilford County Schools,410522,Pilot Elementary,Piedmont-Triad,PK-05,Y,D,52,46.2,75.5,Met,-0.90,C,58,53.0,76.9,Met,-0.62
Guilford County Schools,410523,Pleasant Garden Elementary,Piedmont-Triad,PK-05,,C,57,52.2,75.5,Met,-0.89,C,66,62.1,81.7,Met,0.68
Guilford County Schools,410530,Reedy Fork Elementary,Piedmont-Triad,PK-05,Y,D,43,37.4,65.0,Not Met,-3.00,D,51,42.2,84.2,Met,1.70
Guilford County Schools,410532,Rankin Elementary,Piedmont-Triad,PK-05,Y,D,41,32.2,74.7,Met,-1.06,D,43,34.6,77.5,Met,-0.50
Guilford County Schools,410535,Sedalia Elementary,Piedmont-Triad,PK-05,Y,D,50,44.9,70.0,Met,-2.00,C,58,52.0,82.4,Met,0.98
Guilford County Schools,410538,Sedgefield Elementary,Piedmont-Triad,PK-05,Y,F,36,27.1,71.7,Met,-1.66,F,37,31.7,59.8,Not Met,-4.09
Guilford County Schools,410541,Shadybrook Elementary,Piedmont-Triad,PK-05,Y,D,49,44.7,66.4,Not Met,-2.72,D,49,44.7,65.5,Not Met,-2.90
Guilford County Schools,410542,George C Simkins Jr Elementary,Piedmont-Triad,PK-05,Y,F,36,30.0,59.3,Not Met,-4.40,D,42,35.7,68.0,Not Met,-2.40
Guilford County Schools,410550,Southeast Guilford Middle,Piedmont-Triad,06-08,,D,45,42.0,56.1,Not Met,-6.33,C,56,49.4,83.2,Met,1.31
Guilford County Schools,410553,Southern Elementary,Piedmont-Triad,PK-05,Y,D,54,50.0,70.3,Met,-1.93,C,62,61.4,65.1,Not Met,-2.97
Guilford County Schools,410559,Southwest Elementary,Piedmont-Triad,0K-05,,B,79,79.2,78.2,Met,-0.35,A,88,89.3,83.5,Met,1.41
Guilford County Schools,410565,Southwest Guilford Middle,Piedmont-Triad,06-08,,D,53,52.0,59.4,Not Met,-4.35,D,50,49.1,51.4,Not Met,-9.14
Guilford County Schools,410568,Sternberger Elementary,Piedmont-Triad,PK-05,,B,77,81.4,59.3,Not Met,-4.39,B,76,75.8,74.5,Met,-1.10
Guilford County Schools,410571,Stokesdale Elementary,Piedmont-Triad,PK-05,,C,63,61.9,65.9,Not Met,-2.81,C,68,70.4,56.7,Not Met,-5.93
Guilford County Schools,410574,Summerfield Elementary,Piedmont-Triad,0K-05,,B,75,74.7,76.9,Met,-0.62,B,78,79.6,71.6,Met,-1.68
Guilford County Schools,410577,Sumner Elementary,Piedmont-Triad,0K-05,Y,D,42,33.3,79.2,Met,-0.16,D,48,43.8,65.6,Not Met,-2.87
Guilford County Schools,410578,Triangle Lake Montessori Elem,Piedmont-Triad,PK-05,Y,D,46,38.9,76.2,Met,-0.75,D,52,44.2,83.1,Met,1.26
Guilford County Schools,410580,Union Hill Elementary,Piedmont-Triad,PK-05,Y,D,40,31.6,71.4,Met,-1.72,D,47,41.3,71.9,Met,-1.62
Guilford County Schools,410583,Vandalia Elementary,Piedmont-Triad,PK-05,Y,F,32,24.0,64.8,Not Met,-3.04,F,33,22.3,77.8,Met,-0.43
Guilford County Schools,410586,Washington Elementary,Piedmont-Triad,PK-05,Y,F,37,26.7,75.7,Met,-0.85,D,44,36.4,72.9,Met,-1.42
Guilford County Schools,410592,Welborn Middle,Piedmont-Triad,06-08,Y,D,41,31.2,77.8,Met,-0.44,F,35,21.7,87.1,Exceeded,2.84
Guilford County Schools,410598,Wiley Accel/Enrichment,Piedmont-Triad,PK-05,Y,F,38,27.6,80.7,Met,0.28,F,38,27.6,80.4,Met,0.16
Halifax County Schools,420304,Aurelian Springs Institute of Global Lea,Northeast,PK-05,Y,D,44,34.7,82.4,Met,0.98,D,41,29.7,86.4,Exceeded,2.57
Halifax County Schools,420316,Scotland Neck Elementary Leadership Acad,Northeast,PK-05,Y,F,31,17.9,82.0,Met,0.83,F,35,21.8,89.8,Exceeded,3.92
Halifax County Schools,420324,Enfield Middle S.T.E.A.M. Academy,Northeast,06-08,Y,F,28,16.3,75.0,Met,-0.99,F,27,12.1,88.9,Exceeded,3.57
Halifax County Schools,420328,Everetts Elementary S.T.E.M. Academy,Northeast,PK-05,Y,F,30,20.6,69.7,Not Met,-2.06,F,22,11.3,63.6,Not Met,-3.28
Halifax County Schools,420336,Hollister Elementary Leadership Academy,Northeast,PK-05,Y,F,37,28.9,71.6,Met,-1.68,F,34,19.7,90.2,Exceeded,4.16
Halifax County Schools,420340,Inborden Elementary S.T.E.A.M. Academy,Northeast,PK-05,Y,F,34,23.8,73.4,Met,-1.32,D,49,36.3,97.8,Exceeded,8.68
Halifax County Schools,420348,Pittman Elementary Leadership Academy,Northeast,PK-05,Y,D,44,35.3,80.3,Met,0.12,D,43,33.3,83.3,Met,1.33
Halifax County Schools,420376,William R Davie Middle S.T.E.M. Academy,Northeast,06-08,Y,F,33,24.0,66.6,Not Met,-2.67,F,20,8.2,64.8,Not Met,-3.03
Roanoke Rapids City Schools,421304,Belmont Elementary School,Northeast,PK-05,Y,F,36,26.9,70.6,Met,-1.88,F,39,31.5,67.0,Not Met,-2.59
Roanoke Rapids City Schools,421306,Chaloner Middle School,Northeast,06-08,,D,47,39.1,76.9,Met,-0.61,D,47,38.5,79.8,Met,-0.04
Roanoke Rapids City Schools,421328,Manning Elementary School,Northeast,PK-05,Y,D,54,46.1,85.5,Exceeded,2.20,D,53,46.6,80.9,Met,0.37
Weldon City Schools,422314,Weldon Elementary Global Academy,Northeast,PK-04,Y,F,36,24.4,82.3,Met,0.94,F,29,15.9,80.0,Met,0.02
Weldon City Schools,422318,Weldon Middle,Northeast,05-08,Y,F,37,26.9,79.3,Met,-0.13,F,29,15.4,84.7,Met,1.91
Harnett County Schools,430308,Angier Elementary,North Central,PK-05,Y,D,40,27.7,88.8,Exceeded,3.53,D,42,33.0,80.3,Met,0.15
Harnett County Schools,430312,Benhaven Elementary,North Central,PK-05,Y,C,64,58.5,87.8,Exceeded,3.15,B,71,66.8,85.8,Exceeded,2.33
Harnett County Schools,430316,Boone Trail Elementary,North Central,PK-05,Y,D,42,33.5,78.1,Met,-0.38,D,50,44.1,72.7,Met,-1.45
Harnett County Schools,430320,Buies Creek Elementary,North Central,0K-05,Y,C,59,51.7,88.2,Exceeded,3.30,C,56,50.0,79.2,Met,-0.15
Harnett County Schools,430328,Coats Elementary,North Central,PK-05,Y,D,41,30.9,80.1,Met,0.07,F,38,30.0,69.1,Not Met,-2.17
Harnett County Schools,430330,Coats-Erwin Middle,North Central,06-08,,D,51,40.4,91.2,Exceeded,4.74,D,41,32.3,77.6,Met,-0.47
Harnett County Schools,430332,Dunn Middle,North Central,06-08,,D,44,33.7,86.1,Exceeded,2.44,D,40,28.5,85.0,Exceeded,2.01
Harnett County Schools,430336,Erwin Elementary at Gentry,North Central,0K-05,Y,F,39,29.8,77.1,Met,-0.58,F,36,25.2,81.6,Met,0.64
Harnett County Schools,430344,Harnett Primary,North Central,PK-03,Y,D,45,35.6,83.9,Met,1.59,D,46,45.8,,,
Harnett County Schools,430347,Harnett Central Middle,North Central,06-08,,D,49,40.7,81.1,Met,0.46,D,41,35.1,65.3,Not Met,-2.93
Harnett County Schools,430348,Johnsonville Elementary,North Central,PK-05,Y,D,44,34.9,82.3,Met,0.93,D,41,32.5,75.0,Met,-1.00
Harnett County Schools,430349,Highland Elementary,North Central,0K-05,Y,D,50,44.1,71.1,Met,-1.78,D,40,37.2,53.4,Not Met,-7.92
Harnett County Schools,430351,Highland Middle,North Central,06-08,,D,49,41.6,80.8,Met,0.32,D,45,41.2,58.9,Not Met,-4.62
Harnett County Schools,430352,LaFayette Elementary,North Central,0K-05,Y,D,54,47.1,82.5,Met,1.02,C,64,63.0,66.4,Not Met,-2.71
Harnett County Schools,430358,Lillington-Shawtown Elementary,North Central,PK-05,Y,D,46,35.9,86.1,Exceeded,2.47,D,41,32.8,71.6,Met,-1.67
Harnett County Schools,430369,Overhills Elementary,North Central,PK-05,Y,D,42,35.4,70.1,Met,-1.97,F,39,34.9,53.6,Not Met,-7.80
