year,agency_code,career_cluster
2019,440326,MANU
2019,241304,AGNR
2019,241304,BMA
2019,241304,FINA
2019,241304,HOSP
2019,241304,INFO
2019,241304,MRKT
2019,860306,CD
2019,860306,STEM
2019,370308,AGNR
2019,370308,BMA
2019,370308,CD
2019,370308,FINA
2019,370308,HOSP
2019,370308,INFO
2019,370308,MRKT
2019,970315,INFO
2019,970315,STEM
2019,240328,INFO
2019,180325,BMA
2019,180325,FINA
2019,180325,INFO
2019,180325,LAW
2019,180325,MANU
2019,180325,MRKT
2019,180325,STEM
2019,421306,AAVC
2019,421306,BMA
2019,421306,CD
2019,421306,EDUC
2019,421306,FINA
2019,421306,HOSP
2019,421306,HUMA
2019,421306,INFO
2019,421306,MRKT
2019,421306,STEM
2019,681308,AAVC
2019,681308,AGNR
2019,681308,ARCH
2019,681308,BMA
2019,681308,EDUC
2019,681308,FINA
2019,681308,HLTH
2019,681308,HOSP
2019,681308,HUMA
2019,681308,INFO
2019,681308,LAW
2019,681308,MANU
2019,681308,MRKT
2019,681308,STEM
2019,681308,TRAN
2019,960324,AAVC
2019,960324,AGNR
2019,960324,ARCH
2019,960324,BMA
2019,960324,EDUC
2019,960324,FINA
2019,960324,HLTH
2019,960324,HOSP
2019,960324,HUMA
2019,960324,INFO
2019,960324,LAW
2019,960324,MANU
2019,960324,MRKT
2019,960324,STEM
2019,960324,TRAN
2019,980317,BMA
2019,980317,CD
2019,980317,FINA
2019,980317,HOSP
2019,980317,INFO
2019,980317,MRKT
2019,650310,AAVC
2019,650310,BMA
2019,650310,CD
2019,650310,EDUC
2019,650310,FINA
2019,650310,HOSP
2019,650310,HUMA
2019,650310,INFO
2019,650310,MRKT
2019,650310,STEM
2019,680316,BMA
2019,680316,FINA
2019,680316,HOSP
2019,680316,INFO
2019,680316,MRKT
2019,680316,STEM
2019,600303,CD
2019,600303,INFO
2019,600567,STEM
2019,600499,AAVC
2019,600499,AGNR
2019,600499,ARCH
2019,600499,BMA
2019,600499,EDUC
2019,600499,FINA
2019,600499,HLTH
2019,600499,HOSP
2019,600499,HUMA
2019,600499,INFO
2019,600499,LAW
2019,600499,MANU
2019,600499,MRKT
2019,600499,STEM
2019,600499,TRAN
2019,810324,AAVC
2019,810324,AGNR
2019,810324,ARCH
2019,810324,BMA
2019,810324,EDUC
2019,810324,FINA
2019,810324,HLTH
2019,810324,HOSP
2019,810324,HUMA
2019,810324,INFO
2019,810324,LAW
2019,810324,MANU
2019,810324,MRKT
2019,810324,STEM
2019,810324,TRAN
2019,810326,BMA
2019,810326,FINA
2019,810326,HOSP
2019,810326,INFO
2019,810326,MRKT
2019,190316,AAVC
2019,190316,AGNR
2019,190316,ARCH
2019,190316,BMA
2019,190316,EDUC
2019,190316,FINA
2019,190316,HLTH
2019,190316,HOSP
2019,190316,HUMA
2019,190316,INFO
2019,190316,LAW
2019,190316,MANU
2019,190316,MRKT
2019,190316,STEM
2019,190316,TRAN
2019,190312,INFO
2019,190501,AGNR
2019,190501,ARCH
2019,190501,FINA
2019,190501,HOSP
